,id,station_name,station_line,area,rent_price,lease_price,pos_x,pos_y,지하철역명,rent,lease
74,413eb478-ccac-4844-8235-83bb0a3a9edc,한양대,2호선,,4,8,37.555273,127.043655,,,
75,41c962c2-8b4e-41c3-bf56-f81e45d31510,광나루,5호선,,3,2,37.545303,127.10357,광나루,2.626,1.486
76,42697700-8612-4289-a8cb-ec2ba48562ba,홍대입구,2호선,,4,7,37.557192,126.925381,홍대입구,3.718,6.66
77,426a1a54-3512-4841-8e5d-1442b8a850e6,성수,2호선,,3,6,37.544581,127.055961,성수,3.226,6.006
78,43db0078-f30e-4ad6-8076-8de88374cf3a,월곡,6호선,,3,4,37.601948,127.041518,월곡,2.613,4.281
79,441bf8d4-a8e2-440d-939a-2951f9a42f3e,방이,5호선,,4,6,37.508857,127.126133,방이,3.831,5.51
80,448d6a1e-750e-4f4c-8998-7affa5eecbd3,보라매,7호선,,4,6,37.499872,126.920428,보라매,3.704,5.715
81,4636d8c0-a744-4240-9ce3-7f6024acd682,홍제,3호선,,2,3,37.589066,126.943736,홍제,2.233,3.317
82,4677357d-269c-4ffc-8754-86b8f19270d1,군자,5호선,,4,8,37.557121,127.079542,군자,4.368,7.815
83,46c00945-0618-4dc4-8e54-84a73a94cd2c,중계,7호선,,2,3,37.644583,127.064303,중계,2.014,3.476
84,46f02e37-f8de-4276-baa0-b01a0e2b6209,시청,1호선,,9,10,37.564718,126.977108,시청,9.5,0.0
85,4710ccae-57d4-46d7-8293-43cadddaa797,종합운동장,2호선,,6,7,37.510997,127.073642,,,
86,47352567-315a-4fef-8a40-9898a514092d,신이문,1호선,,3,6,37.601854,127.067325,신이문,2.449,6.352
87,476b2022-e313-4ddd-a792-d2ddb87cac9e,신대방,2호선,,4,7,37.487462,126.913149,신대방,3.807,6.918
88,48504fa4-3405-45b2-89fe-2ee5ee2aaef3,남영,1호선,,5,10,37.541021,126.9713,남영,5.122,10.018
89,497bc014-6dfa-4149-8d36-e3eeeeec7f5a,을지로3가,2호선,,5,9,37.566295,126.99191,을지로3가,5.09,8.956
90,49d1a6b4-b779-4649-8b94-0756103e01e1,청구,6호선,,3,4,37.560245,127.013828,청구,2.696,4.171
91,4a152704-d21c-43e5-99fe-b7085cdc1def,대치,3호선,,0,11,37.494612,127.063642,대치,0.85,0.0
92,4ac5b9e1-1abf-4f9d-9dc8-10b42bdf2ba8,태릉입구,7호선,,4,5,37.617983,127.07512,태릉입구,4.133,5.291
93,4b7ba39d-4bb1-4fef-88aa-86a6a4d5c4cf,청구,5호선,,3,4,37.560245,127.013828,청구,2.696,4.171
94,4bfe83bb-8c3f-40fe-8042-d4b298bffde8,까치산,5호선,,4,5,37.531768,126.846683,까치산,3.747,5.252
95,4e47af79-8bca-40d1-a930-9c173b4faad9,삼성,2호선,,5,6,37.508844,127.06316,삼성,4.694,6.166
96,4e731bb2-fb51-4a85-8ec3-02580528dd6a,태릉입구,6호선,,4,5,37.617983,127.07512,태릉입구,4.133,5.291
97,4f662ab4-7ae6-487a-b823-ead9310291ac,독바위,6호선,,3,4,37.618456,126.933031,독바위,1.819,4.018
98,4fee24d1-daf5-4424-8b48-64d1246ef4ca,애오개,5호선,,3,6,37.553736,126.95682,애오개,3.341,6.304
99,517fdfd4-777e-4d86-8c4e-9d19b854a70c,가산디지털단지,1호선,,4,8,37.481072,126.882343,가산디지털단지,3.874,7.396
100,51b1e20e-7562-456c-8623-f67f6d09ed87,이대,2호선,,5,9,37.556733,126.946013,이대,4.643,9.278
101,520607ad-8d2d-464c-9ca1-29740cdf64e7,도봉,1호선,,3,4,37.679563,127.045595,도봉,2.179,4.127
102,5408b7c9-1856-4e94-b2c1-1990d4b6e983,신내,6호선,,3,4,37.612887,127.103218,신내,1.52,2.178
103,55ddc3a9-2f06-4ff2-b86e-72e11666b450,석계,6호선,,3,5,37.614805,127.065851,석계,3.064,5.316
104,56066a8c-b5e7-462b-822f-f776f5da3913,거여,5호선,,3,4,37.493105,127.14415,거여,2.032,4.572
105,58b4d22d-19b6-4ec9-a4ab-736aee68ebf8,상도,7호선,,3,4,37.502834,126.94791,상도,2.635,4.284
106,5ac25e10-7fca-4c9c-8c7a-477b965a1eb0,숙대입구,4호선,,3,5,37.54456,126.972106,숙대입구,2.907,4.771
107,5b19c302-5a6c-466b-826f-3910dcc07641,영등포,1호선,,4,8,37.515504,126.907628,영등포,4.49,8.022
108,5d829a49-112a-4c17-9dbd-bbf7cd71fc27,충정로,2호선,,4,4,37.559973,126.963672,충정로,3.728,3.575
109,5d917bb6-9372-4696-88d8-913a290459ae,경찰병원,3호선,,3,6,37.495918,127.12454,경찰병원,3.342,6.284
110,5fadfbb7-4f5c-4731-a823-f9c9ee8e59f0,상수,6호선,,3,5,37.547716,126.922852,상수,3.035,4.858
111,5fec53f9-9053-489c-b8d2-7c0155345fcd,면목,7호선,,3,5,37.588579,127.087503,면목,3.095,5.183
112,607a325e-6592-40bf-9336-861fc05828f5,을지로3가,3호선,,5,9,37.566295,126.99191,을지로3가,5.09,8.956
113,6181ae45-0918-4348-a252-d8af95819233,강동,5호선,,4,8,37.535804,127.132481,강동,4.473,8.037
114,63914a3e-b076-4d90-a2c9-1236f2ee2f8d,남부터미널,3호선,,4,8,37.485013,127.016189,남부터미널,3.838,8.272
115,63c854be-8024-4fbe-9e59-781f2602ce08,충정로,5호선,,4,4,37.559973,126.963672,충정로,3.728,3.575
116,64c70a9d-e0c5-40a8-b8f6-539726aa56a2,구의,2호선,,4,6,37.537077,127.085916,구의,3.776,6.426
117,64cd3464-a68b-4145-9e16-2ce4243dfbbf,학여울,3호선,,4,8,37.496663,127.070594,,,
118,66c79dd5-31a6-4f58-8bfc-68cb36073463,신촌,2호선,,5,8,37.555134,126.936893,신촌,4.796,7.934
119,67e4a58b-fb8d-43b8-8003-30731765462c,구파발,3호선,,3,5,37.636763,126.918821,구파발,2.998,5.104
120,68b78e26-b04a-48f9-a694-b7e000ad1dce,가산디지털단지,7호선,,4,8,37.481072,126.882343,가산디지털단지,3.874,7.396
121,68fb8e53-852d-47f5-9708-9808c5a9e8fd,송파,8호선,,4,6,37.499703,127.112183,송파,4.302,5.831
122,69ec9cac-aaf2-43a9-9399-74709009724e,종로3가,1호선,,5,4,37.571607,126.991806,종로3가,4.66,3.865
123,6aa1ace5-0412-4d9a-afbd-1c76368b399a,연신내,3호선,,4,6,37.619001,126.921008,연신내,3.579,6.435
124,6bf64db9-399f-43bf-9103-7f146564324f,안암,6호선,,3,6,37.586272,127.029005,안암,2.616,5.9
125,6d2f5081-e796-4590-9b68-67690092fca1,남성,7호선,,4,5,37.484596,126.971251,남성,3.734,4.707
126,6dd8a5ab-5508-4656-9082-938fc2bc1224,충무로,4호선,,4,7,37.561243,126.99428,충무로,3.911,7.082
127,6e939efe-5e61-49c5-be06-d36e9f496933,신사,3호선,,4,7,37.516334,127.020114,신사,4.069,7.078
