,호선명,지하철역명,pos_x,pos_y,단위면적 환산액(만원)_x,단위면적 환산액(만원)_y
500,경의선,이촌,37.522272,126.974345,1.0,2.0
501,6호선,이태원,37.534488,126.994302,3.0,3.0
514,2호선,잠실,37.51395,127.102234,5.0,10.0
515,8호선,잠실,37.51395,127.102234,5.0,10.0
517,7호선,장승배기,37.504898,126.93915,4.0,6.0
518,7호선,장암,37.700109,127.053196,2.0,2.0
519,8호선,장지,37.478703,127.126191,2.0,3.0
520,5호선,장한평,37.56144,127.064623,3.0,7.0
527,1호선,제기동,37.578103,127.034893,3.0,6.0
529,1호선,종로3가,37.571607,126.991806,5.0,4.0
530,3호선,종로3가,37.571607,126.991806,5.0,4.0
531,5호선,종로3가,37.571607,126.991806,5.0,4.0
532,1호선,종로5가,37.570926,127.001849,4.0,10.0
537,7호선,중계,37.644583,127.064303,2.0,3.0
538,7호선,중곡,37.565923,127.08432,4.0,5.0
543,7호선,중화,37.602545,127.079264,3.0,5.0
545,6호선,증산,37.583876,126.909645,3.0,4.0
550,1호선,창동,37.653166,127.047731,2.0,4.0
551,4호선,창동,37.653166,127.047731,2.0,4.0
552,6호선,창신,37.579661,127.015241,2.0,3.0
554,7호선,천왕,37.486637,126.838713,2.0,2.0
555,5호선,천호,37.538397,127.123572,4.0,7.0
556,8호선,천호,37.538397,127.123572,4.0,7.0
557,7호선,철산,37.47605,126.867911,2.0,3.0
559,5호선,청구,37.560245,127.013828,3.0,4.0
560,6호선,청구,37.560245,127.013828,3.0,4.0
561,7호선,청담,37.519365,127.05335,5.0,7.0
562,1호선,청량리,37.580178,127.046835,3.0,5.0
563,경의선,청량리,37.580178,127.046835,3.0,5.0
564,경춘선,청량리,37.580178,127.046835,3.0,5.0
565,분당선,청량리,37.580178,127.046835,3.0,5.0
573,3호선,충무로,37.561243,126.99428,4.0,7.0
574,4호선,충무로,37.561243,126.99428,4.0,7.0
575,2호선,충정로,37.559973,126.963672,4.0,4.0
576,5호선,충정로,37.559973,126.963672,4.0,4.0
580,6호선,태릉입구,37.617983,127.07512,4.0,5.0
581,7호선,태릉입구,37.617983,127.07512,4.0,5.0
590,7호선,하계,37.636352,127.06799,2.0,4.0
594,7호선,학동,37.514229,127.031656,4.0,7.0
597,4호선,한성대입구,37.588458,127.006221,3.0,3.0
602,2호선,합정,37.549463,126.913739,4.0,5.0
603,6호선,합정,37.549463,126.913739,4.0,5.0
604,5호선,행당,37.557322,127.029476,2.0,3.0
606,4호선,혜화,37.582336,127.001844,3.0,4.0
608,2호선,홍대입구,37.557192,126.925381,4.0,7.0
609,경의선,홍대입구,37.557192,126.925381,4.0,7.0
610,공항철도,홍대입구,37.557192,126.925381,4.0,7.0
611,3호선,홍제,37.589066,126.943736,2.0,3.0
613,5호선,화곡,37.541513,126.840461,3.0,5.0
614,6호선,화랑대,37.620064,127.084689,2.0,3.0
617,1호선,회기,37.58946,127.057583,4.0,7.0
618,경의선,회기,37.58946,127.057583,4.0,7.0
619,경춘선,회기,37.58946,127.057583,4.0,7.0
621,4호선,회현,37.558514,126.978246,5.0,4.0
623,6호선,효창공원앞,37.539261,126.961351,4.0,7.0
624,경의선,효창공원앞,37.539261,126.961351,4.0,7.0
